"","x"
"1","youtube.com"
"2","t.me"
"3","facebook.com"
"4","twitter.com"
"5","bitchute.com"
"6","welt.de"
"7","wochenblick.at"
"8","journalistenwatch.com"
"9","dlive.tv"
"10","20min.ch"
"11","reitschuster.de"
"12","donnersender.ru"
"13","bild.de"
"14","epochtimes.de"
"15","m.facebook.com"
"16","corona-transition.org"
"17","bit.ly"
"18","telegra.ph"
"19","n-tv.de"
"20","de.rt.com"
"21","google.com"
"22","uncut-news.ch"
"23","focus.de"
"24","t.co"
"25","spiegel.de"
"26","blick.ch"
"27","instagram.com"
"28","t-online.de"
"29","kla.tv"
"30","heise.de"
"31","tagesschau.de"
"32","merkur.de"
"33","odysee.com"
"34","web.archive.org"
"35","lbry.tv"
"36","m.focus.de"
"37","nichtohneuns-freiburg.de"
"38","deutsch.rt.com"
"39","m.bild.de"
"40","openpetition.de"
"41","connectiv.events"
"42","rt.com"
"43","klagepaten.eu"
"44","bundestag.de"
"45","ignazbearth.ch"
"46","2020news.de"
"47","srf.ch"
"48","faz.net"
"49","rnd.de"
"50","vimeo.com"
"51","br.de"
"52","rubikon.news"
"53","frei3.de"
"54","de.wikipedia.org"
"55","archive.is"
"56","sueddeutsche.de"
"57","nau.ch"
"58","heute.at"
"59","de.m.wikipedia.org"
"60","ift.tt"
"61","berliner-zeitung.de"
"62","deutsche-wirtschafts-nachrichten.de"
"63","de.sputniknews.com"
"64","unser-mitteleuropa.com"
"65","msn.com"
"66","paypal.me"
"67","mmnews.de"
"68","zeit.de"
"69","pravda-tv.com"
"70","corona-ausschuss.de"
"71","rtl.de"
"72","legitim.ch"
"73","nzz.ch"
"74","zdf.de"
"75","google.de"
"76","fruehling2020.com"
"77","tichyseinblick.de"
"78","rki.de"
"79","aerzteblatt.de"
"80","tag24.de"
"81","ogy.de"
"82","tagesspiegel.de"
"83","open.lbry.com"
"84","achgut.com"
"85","citizengo.org"
"86","zeitpunkt.ch"
"87","m8y1.info"
"88","servustv.com"
"89","kenfm.de"
"90","file.wikileaks.org"
"91","mobile.twitter.com"
"92","businessinsider.de"
"93","notrecht-referendum.ch"
"94","swr.de"
"95","veezee.tv"
